Field	Time	Subject1:AnkleAngle:X	Subject1:AnkleAngle:Y	Subject1:AnkleAngle:Z	Subject1:FootProgression:X	Subject1:FootProgression:Y	Subject1:FootProgression:Z	Subject1:HipAngle:X	Subject1:HipAngle:Y	Subject1:HipAngle:Z	Subject1:KneeAngle:X	Subject1:KneeAngle:Y	Subject1:KneeAngle:Z	Subject1:metaAngle:X	Subject1:metaAngle:Y	Subject1:metaAngle:Z	Subject1:metatarsal:X	Subject1:metatarsal:Y	Subject1:metatarsal:Z	Subject1:PelvisRot:X	Subject1:PelvisRot:Y	Subject1:PelvisRot:Z	Subject1:ankle:X	Subject1:ankle:Y	Subject1:ankle:Z	Subject1:caudal:X	Subject1:caudal:Y	Subject1:caudal:Z	Subject1:head:X	Subject1:head:Y	Subject1:head:Z	Subject1:hip:X	Subject1:hip:Y	Subject1:hip:Z	Subject1:knee:X	Subject1:knee:Y	Subject1:knee:Z	Subject1:lumber:X	Subject1:lumber:Y	Subject1:lumber:Z	Subject1:stick:X	Subject1:stick:Y	Subject1:stick:Z	Subject1:toetip:X	Subject1:toetip:Y	Subject1:toetip:Z	Subject1:hipYZY:X	Subject1:hipYZY:Y	Subject1:hipYZY:Z	Subject1:avPEL:X	Subject1:avPEL:Y	Subject1:avPEL:Z
145	0.5760	13.127	6.6927	25.93	-3.3698	8.0143	30.292	63.619	-36.805	24.229	69.942	-1.3252e-015	1.6565e-017	91.157	-8.0905	625.99	557.2	695.09	35.472	80.88	-2.705	-2.7868	519.78	695.57	39.296	468.63	803.71	113.3	840.84	707.76	109.58	501.69	780.02	102.83	543.74	738.66	89.211	520.34	801.25	115.75	494.46	806.39	139.04	587.68	691.71	35.431	-39.836	69.115	40.537	73.633	5.9121	1.7759
146	0.5800	14.76	8.3354	28.48	-5.2041	8.8206	24.22	61.272	-35.657	19.586	72.826	-1.5903e-015	2.0541e-015	91.475	-9.4655	634.38	561.84	697.98	26.781	82.385	-2.6978	-4.5516	524.43	698.37	31.398	478.49	800.12	113.66	851.93	707.43	108.41	511.04	775.51	102	552.04	733.69	84.927	530.05	796.07	116.09	504.34	801.34	139.44	591.93	693.79	26.375	-39.248	67.076	37.136	73.633	5.9121	1.7759
147	0.5840	17.749	10.474	29.566	-3.702	8.5611	20.675	58.648	-37.673	15.837	75.722	-2.1204e-015	3.1971e-015	92.323	-9.2043	646.68	563.94	700.1	19.001	85.78	-2.2574	-5.1031	526.65	701.51	23.614	488.37	796.35	113.81	862.55	706.27	107.59	520.32	770.81	100.28	558.91	727.95	79.197	540.19	791.76	115.85	514.17	795.83	139.62	593.45	695.12	18.52	-42.081	65.911	36.222	73.633	5.9121	1.7759
148	0.5880	23.632	13.528	28.507	-0.7036	6.5873	19.498	55.666	-41.152	13.672	78.889	-2.6505e-015	2.0375e-015	92.18	-8.6435	656.22	563.9	701.11	14.113	90.074	-1.7131	-5.5027	526.61	704.34	17.518	498.32	792.62	113.63	872.77	704.18	107.05	529.22	765.7	97.851	564.28	721.64	72.59	550.43	787.63	115.19	523.94	790.08	139.51	592.8	694.79	13.965	-46.661	65.074	37.936	73.633	5.9121	1.7759
149	0.5920	30.353	16.89	26.653	1.4397	4.6172	18.344	52.043	-43.409	12.071	82.241	-1.5903e-015	-1.1264e-015	91.477	-10.047	655.93	562.57	700.78	12.146	92.961	-1.3656	-7.0427	525.35	706.19	14.368	508.37	789.18	113.14	882.92	701.69	106.57	537.53	759.95	95.364	568.3	714.98	66.539	560.35	782.77	114.39	533.85	784.67	138.95	590.61	691.9	12.391	-50.326	63.563	40.385	73.633	5.9121	1.7759
150	0.5960	34.234	20.012	26.763	2.2637	4.7	15.58	47.7	-44.645	9.4988	84.86	7.9514e-016	-2.5179e-015	92.081	-13.178	650.87	561.04	699.17	11.522	93.374	-1.0248	-9.2079	524.24	706.44	14.002	518.37	785.84	112.65	893.11	699.16	106.04	545.53	754.33	93.466	571.34	708.31	62.407	569.99	777.48	113.59	544	780.14	137.99	588.02	687.28	11.947	-53.287	61.572	42.237	73.633	5.9121	1.7759
151	0.6000	33.985	23.143	30.312	1.7987	7.1762	12.341	43.594	-46.838	7.151	85.82	1.8553e-015	-1.3252e-015	95.698	-15.531	653.71	560.14	697	10.856	93.25	-0.64683	-11.37	524.03	705.17	15.089	528.39	782.86	112.3	903.36	696.74	105.41	553.73	749.7	92.368	573.89	702.1	60.186	579.65	772.55	112.89	554.18	776.2	137.03	586.31	683.37	11.649	-57.095	60.584	44.687	73.633	5.9121	1.7759
152	0.6040	31.745	26.837	36.042	-0.21539	10.553	9.3587	39.664	-50.027	5.9289	85.352	5.3009e-016	2.6505e-016	101.14	-15.855	665.67	560.03	695.37	10.192	93.856	-0.52411	-13.906	524.5	703.51	16.49	538.58	780.45	111.96	913.55	694.31	104.68	562.48	746.14	91.677	576.39	696.68	58.624	589.34	767.89	112.44	564.19	772.4	136.43	585.9	681.59	11.632	-61.746	60.669	48.68	73.633	5.9121	1.7759
153	0.6080	29.658	30.577	41.654	-3.1959	14.119	6.835	35.606	-53.01	5.9916	84.537	-5.3009e-016	1.0602e-015	106.2	-14.811	678.22	560.36	694.77	9.8584	95.188	-0.76166	-17.179	525.24	702.62	18.07	549.09	778.8	111.44	923.37	691.45	104.06	571.55	742.78	90.965	578.97	692.12	56.769	599.04	763.36	112.14	574.13	768.72	136.19	586.19	681.43	11.726	-66.258	60.982	54.138	73.633	5.9121	1.7759
154	0.6120	27.851	33.258	46.031	-5.4904	17.867	3.853	30.248	-54.499	4.812	83.885	2.6505e-016	1.3252e-015	110.13	-13.481	687.13	560.78	694.86	9.665	95.616	-0.89763	-20.276	526.19	702.89	20.029	559.66	777.23	110.98	932.7	687.89	103.76	580.54	739.16	90.184	581.51	688.39	54.775	608.77	759.09	111.8	584.25	765.54	136.08	586.29	681.64	11.372	-70.549	60.224	59.449	73.633	5.9121	1.7759
155	0.6160	25.978	34.411	49.282	-5.7951	21.317	-0.037404	22.286	-54.493	-0.57212	83.107	1.3252e-015	1.5903e-015	113.3	-11.475	694.61	561.17	695.13	9.5905	94.118	-0.40594	-21.672	527.52	703.8	22.428	569.73	774.46	111.07	941.71	683.87	103.78	589.21	735.5	89.562	583.92	685.4	53.28	618.48	755.09	111.44	594.48	762.68	136.02	586.2	681.98	10.697	-75.559	58.06	63.193	73.633	5.9121	1.7759
156	0.6200	23.665	34.046	52.07	-4.8982	24.997	-3.1056	13.316	-54.499	-7.8872	81.837	1.0602e-015	2.6505e-016	116.99	-8.7752	702.29	561.64	695.48	9.5825	92.455	0.44256	-21.928	529.37	704.66	25.233	579.41	770.89	111.6	951.13	680.62	103.69	597.61	731.9	89.246	586.41	683.05	52.577	628.19	751.26	111.19	604.55	759.61	136.05	586.25	682.73	10.122	-81.095	56.242	66.225	73.633	5.9121	1.7759
157	0.6240	20.942	32.353	54.564	-4.4094	30	-4.008	5.8873	-55.475	-12.938	80.099	2.6505e-016	-1.3252e-015	121.77	-6.6467	708.47	562.24	695.89	9.5788	92.006	0.93284	-22.934	531.88	705.21	28.378	589.17	767.75	112.07	961.01	679.01	102.97	606.05	728.49	89.16	589.37	681.22	52.536	637.73	747.19	111.21	614.35	756.14	136.2	586.32	683.52	9.7467	-85.897	56.015	69.918	73.633	5.9121	1.7759
158	0.6280	18.196	29.529	56.342	-5.3132	36.46	-3.5897	1.0264	-56.43	-14.204	78.173	0	-5.3009e-016	127.61	-5.9334	712.13	562.99	696.25	9.6548	92.106	0.86825	-25.404	535.15	705.46	31.784	599.26	765.52	112.28	971.04	678.13	101.87	614.68	725.3	89.205	593.09	679.75	52.95	647.03	742.81	111.48	624.06	752.72	136.34	586.3	683.82	9.6081	-89.325	56.543	74.567	73.633	5.9121	1.7759
159	0.6320	15.645	25.817	57.171	-8.5408	43.081	-5.4805	-2.3699	-54.979	-13.88	76.346	-2.6505e-016	1.5903e-015	134.18	-7.1255	713.14	563.94	696.53	9.8945	90.182	0.74003	-28.104	539.2	705.53	35.327	609.34	763.29	112.58	981.22	676.11	101.35	623.4	722.24	89.397	597.58	678.46	53.706	656.1	738.3	111.89	633.99	749.99	136.39	586.16	683.33	9.7395	-92.035	55.162	79.241	73.633	5.9121	1.7759
160	0.6360	13.108	21.453	57.365	-11.456	49.232	-8.3782	-6.1526	-52.125	-14.856	74.675	-7.9514e-016	2.3854e-015	140.31	-8.3409	713.37	565.1	696.68	10.355	86.872	0.90527	-29.75	543.93	705.32	38.923	619.13	760.35	113.18	991.06	671.71	102.07	632.14	719.3	89.77	602.74	677.19	54.8	665.14	734.03	112.35	643.97	747.58	136.54	586.07	682.89	9.8233	-94.824	52.577	82.987	73.633	5.9121	1.7759
161	0.6400	10.313	16.62	57.248	-9.7611	55.852	-6.8269	-11.053	-51.165	-17.746	72.949	-9.2766e-016	1.0602e-015	144.63	-6.9088	715.07	566.44	696.64	11.057	85.591	1.1849	-30.331	549.24	704.77	42.474	628.89	757.39	113.85	1000.5	666.04	103.45	640.97	716.47	90.295	608.43	675.92	56.204	674.54	730.66	112.75	653.69	744.93	137	586.23	683.67	9.4463	-97.912	52.195	85.873	73.633	5.9121	1.7759
162	0.6440	7.2486	11.452	56.458	-1.9337	63.397	1.4713	-16.514	-52.439	-21.359	70.847	-5.3009e-016	2.6505e-016	146.61	-2.5704	718.34	567.91	696.31	12.02	86.88	1.2957	-30.38	555.07	703.9	45.817	638.75	754.81	114.42	1009.9	661.14	104.45	649.95	713.68	90.975	614.67	674.83	57.806	684.29	728.1	113.23	663.13	741.96	137.74	586.51	685.52	8.5979	-101.26	54.368	88.571	73.633	5.9121	1.7759
163	0.6480	3.8543	6.0755	54.586	12.911	70.976	17.048	-21.684	-53.54	-24.496	68.128	-3.3131e-016	1.3252e-015	146.72	3.2516	722.27	569.46	695.5	13.272	88.47	1.2509	-30.155	561.34	702.65	48.852	648.63	752.36	115.02	1019.6	657.25	104.97	659.03	710.77	91.883	621.49	673.99	59.527	694.17	725.89	113.87	672.6	739.14	138.56	586.67	687.44	7.6435	-104.92	56.624	91.621	73.633	5.9121	1.7759
164	0.6520	0.20576	0.6059	51.815	30.471	77.804	35.368	-25.577	-52.272	-25.884	64.954	-9.9392e-016	3.9757e-015	146.05	8.944	726.1	571.06	694.3	14.724	87.949	1.0412	-30.26	567.88	701.14	51.646	658.48	749.82	115.72	1029.9	653.98	105.32	668.13	707.72	92.98	628.68	673.34	61.3	703.87	723.33	114.76	682.38	736.87	139.26	586.57	688.77	6.8768	-108.5	56.57	95.303	73.633	5.9121	1.7759
165	0.6560	-4.35	-4.9194	48.425	63.596	83.161	69.994	-28.454	-49.683	-25.637	60.982	-2.3854e-015	0	145.32	14.724	729.97	572.63	692.09	16.55	86.332	0.65104	-30.726	574.59	698.5	54.256	668.33	747.14	116.57	1038.7	647.78	105.84	677.22	704.24	94.544	636.2	672.45	63.336	713.4	720.35	115.97	692.09	734.79	140.05	586.45	688.84	6.747	-112.01	55.329	99.765	73.633	5.9121	1.7759
